Query,Document
Q1,D138
Q1,D786
Q1,D583
Q1,D411
Q1,D358
Q1,D654
Q1,D1072
Q1,D614
Q1,D1005
Q1,D284
Q1,D348
Q1,D971
Q1,D1098
Q1,D1080
Q1,D677
Q1,D546
Q1,D1211
Q1,D975
Q1,D43
Q1,D382
Q1,D316
Q1,D277
Q1,D349
Q1,D1195
Q1,D943
Q1,D820
Q1,D215
Q1,D264
Q1,D201
Q1,D868
Q1,D1299
Q1,D1326
Q1,D1310
Q1,D1339
Q1,D1069
Q1,D826
Q1,D625
Q1,D318
Q1,D1442
Q1,D190
Q1,D649
Q1,D533
Q1,D713
Q1,D1371
Q1,D711
Q1,D808
Q1,D1431
Q1,D650
Q1,D82
Q1,D789
Q1,D708
Q1,D1296
Q1,D999
Q1,D524
Q1,D1036
Q1,D127
Q1,D101
Q1,D181
Q1,D489
Q1,D60
Q1,D953
Q1,D445
Q1,D1255
Q1,D429
Q1,D465
Q1,D813
Q1,D963
Q1,D328
Q1,D509
Q1,D1063
Q1,D73
Q1,D754
Q1,D1117
Q1,D1232
Q1,D170
Q1,D1441
Q1,D555
Q1,D432
Q1,D1452
Q1,D524
Q1,D735
Q1,D760
Q1,D1074
Q1,D272
Q1,D321
Q1,D1246
Q1,D13
Q1,D156
Q1,D1075
Q1,D30
Q1,D1380
Q1,D1365
Q1,D457
Q1,D220
Q1,D691
Q1,D52
Q1,D180
Q1,D1448
Q1,D1301
Q1,D717
Q1,D205
Q1,D1394
Q1,D1009
Q1,D1045
Q1,D160
Q1,D734
Q1,D436
Q1,D140
Q1,D572
Q1,D751
Q1,D926
Q1,D401
Q1,D1100
Q1,D1188
Q1,D41
Q1,D573
Q1,D1297
Q1,D589
Q1,D881
Q1,D291
Q1,D1026
Q1,D1028
Q1,D387
Q1,D410
Q1,D835
Q1,D668
Q1,D969
Q1,D758
Q1,D674
Q1,D71
Q1,D994
Q1,D1305
Q1,D892
Q1,D701
Q1,D68
Q1,D395
Q1,D639
Q1,D389
Q1,D739
Q1,D1213
Q1,D1052
Q1,D839
Q1,D715
Q1,D1079
Q1,D585
Q1,D665
Q1,D1097
Q1,D945
Q1,D1223
Q1,D854
Q1,D106
Q1,D1349
Q1,D42
Q1,D478
Q1,D1459
Q1,D258
Q1,D783
Q1,D648
Q1,D1143
Q1,D964
Q1,D343
Q1,D909
Q1,D817
Q1,D1111
Q1,D1041
Q1,D1373
Q1,D1422
Q1,D576
Q1,D295
Q1,D794
Q1,D1176
Q1,D281
Q1,D195
Q1,D80
Q1,D1022
Q1,D629
Q1,D207
Q1,D545
Q1,D1002
Q1,D90
Q1,D869
Q1,D1038
Q1,D603
Q1,D84
Q1,D362
Q1,D38
Q1,D319
Q1,D1308
Q1,D408
Q1,D237
Q1,D352
Q1,D534
Q1,D420
Q1,D293
Q1,D567
Q1,D1397
Q1,D226
Q1,D956
Q1,D1178
Q1,D317
Q1,D650
Q1,D536
Q1,D28
Q1,D1087
Q1,D302
Q1,D1113
Q1,D311
Q1,D757
Q1,D470
Q1,D513
Q1,D195
Q1,D51
Q1,D115
Q1,D1306
Q1,D791
Q1,D304
Q1,D35
Q1,D877
Q1,D320
Q1,D210
Q1,D700
Q1,D615
Q1,D1158
Q1,D1265
Q1,D974
Q1,D1196
Q1,D458
Q1,D548
Q1,D1329
Q1,D1089
Q1,D11
Q1,D437
Q1,D131
Q1,D937
Q1,D150
Q1,D623
Q1,D315
Q1,D1405
Q1,D490
Q1,D506
Q2,D183
Q2,D1183
Q2,D670
Q2,D128
Q2,D1102
Q2,D886
Q2,D78
Q2,D732
Q2,D504
Q2,D1206
Q2,D1136
Q2,D695
Q2,D976
Q2,D733
Q2,D231
Q2,D693
Q2,D1262
Q2,D531
Q2,D75
Q2,D1135
Q2,D780
Q2,D1185
Q2,D1079
Q2,D1292
Q2,D639
Q2,D740
Q2,D174
Q2,D1049
Q2,D180
Q2,D800
Q2,D107
Q2,D867
Q2,D462
Q2,D478
Q2,D1213
Q2,D748
Q2,D1067
Q2,D357
Q2,D483
Q2,D841
Q2,D1166
Q2,D168
Q2,D1370
Q2,D348
Q2,D643
Q2,D471
Q2,D202
Q2,D705
Q2,D237
Q2,D928
Q2,D511
Q2,D1104
Q2,D284
Q2,D609
Q2,D268
Q2,D816
Q2,D823
Q2,D347
Q2,D799
Q2,D458
Q2,D250
Q2,D902
Q2,D1329
Q2,D429
Q2,D669
Q2,D502
Q2,D731
Q2,D641
Q2,D29
Q2,D1249
Q2,D1323
Q2,D1177
Q2,D1377
Q2,D516
Q2,D1023
Q2,D1337
Q2,D1419
Q2,D479
Q2,D908
Q2,D161
Q2,D302
