,Document,Word,Frequence,Poid
0,D1,18,1,0.565909017147027
1967,D1,told,1,0.6408702713486026
1971,D1,biographi,1,0.6720307678514121
1974,D1,briefli,1,0.4107179201092812
2008,D1,describ,1,0.20133194425024703
2279,D1,system,1,0.145939967730322
2794,D1,attempt,1,0.2757798133864285
2919,D1,provid,1,0.20913567890625012
63,D1,decim,2,0.982483187415549
3168,D1,detail,1,0.29727038231994374
3269,D1,work,1,0.20913567890625012
3518,D1,spur,1,0.6720307678514121
3521,D1,growth,1,0.33944105858889867
3588,D1,librarianship,1,0.372123289936769
3637,D1,countri,1,0.37876678504577693
3683,D1,abroad,1,0.6167169050885274
1952,D1,never,1,0.49817519031462515
1948,D1,stori,1,0.6408702713486026
1915,D1,full,1,0.4138864669617845
1804,D1,howev,1,0.28771330156332897
861,D1,histori,2,0.7358471441205445
912,D1,first,2,0.48859585375514675
1084,D1,ddc,2,1.2334338101770548
1089,D1,publish,1,0.2807087921539409
1208,D1,1876,1,0.6408702713486026
1212,D1,eighteenth,1,0.7911625539835742
1213,D1,1971,1,0.43136122496691015
51,D1,dewey,3,1.5665449229653912
1241,D1,futur,1,0.30350169701850216
1404,D1,appear,1,0.3148773895116402
1489,D1,need,1,0.20839407201501553
79,D1,classif,2,0.5866625214062646
1740,D1,spite,1,0.5803330184572565
1747,D1,long,1,0.43926136536343463
1773,D1,healthi,1,0.7911625539835742
1774,D1,life,1,0.4240162534231529
1336,D1,continu,1,0.3379036103833587
499,D1,studi,1,0.17545995052595345
184,D1,present,1,0.1877219509003781
8,D1,edit,4,1.5434905250073216
6301,D2,inform,7,0.44423755438782186
9462,D2,regular,1,0.2217233056226492
9375,D2,even,1,0.15624638263509363
7626,D2,situat,1,0.17210062412746183
9205,D2,organ,1,0.12271733537821049
9152,D2,peopl,1,0.18194538230279972
9140,D2,colleagu,1,0.2610908204942319
9130,D2,contact,1,0.270914666843522
9018,D2,period,1,0.14340431487915095
8870,D2,current,1,0.1295030411271844
8860,D2,handbook,1,0.270914666843522
7690,D2,whole,1,0.1929363156259152
8672,D2,collect,1,0.11784991976217714
8667,D2,desk,1,0.3083584525442637
8659,D2,reli,1,0.2829545085735135
8644,D2,rare,1,0.24908759515731257
8636,D2,visit,1,0.2829545085735135
7733,D2,doubt,1,0.2610908204942319
8350,D2,scienc,1,0.09820977578006349
7745,D2,major,1,0.13119968561113537
8277,D2,rather,1,0.1652774118417399
8167,D2,technolog,1,0.14431337090637608
8121,D2,particularli,1,0.18938339252288847
9487,D2,also,1,0.1139403943161008
7596,D2,proport,2,0.4240162534231529
7577,D2,channel,1,0.23640182163050794
9691,D2,receiv,1,0.1860616449683845
6216,D2,pattern,1,0.1574386947558201
6199,D2,wider,1,0.24236644674170943
6096,D2,aspect,1,0.14764021916425185
5773,D2,one,2,0.18548720521106293
5763,D2,kingdom,1,0.270914666843522
5670,D2,unit,1,0.15283606339682793
6989,D2,restrict,1,0.2217233056226492
5642,D2,act,2,0.43523680109074175
5641,D2,6300,1,0.3955812769917871
5416,D2,analysi,1,0.10930217338699937
5232,D2,report,1,0.1188854987743119
6959,D2,transfer,4,0.8480325068463058
7014,D2,document,2,0.210639574740996
4555,D2,technic,4,0.5499663189320111
4346,D2,made,1,0.11278875632102409
3688,D2,use,6,0.38077504661813305
7259,D2,take,2,0.34420124825492365
7323,D2,account,1,0.17050132475962412
7389,D2,outsid,1,0.23640182163050794
7408,D2,still,1,0.208577355602093
7440,D2,less,1,0.17050132475962412
7506,D2,oral,1,0.3204351356743013
7510,D2,person,3,0.509161587883348
9740,D2,way,1,0.13296221107209202
4681,D2,librari,8,0.5622604717449569
5669,D2,104,1,0.3955812769917871
7888,D2,user,2,0.21532525927072907
10097,D3,kind,1,0.19485865686814186
10565,D3,knowledg,6,1.0192127393826642
9878,D3,two,1,0.1263723687568472
10863,D3,els,1,0.34114038856020934
11233,D3,certain,1,0.1820386459044602
11545,D3,written,1,0.2138800148797383
11657,D3,storehous,1,0.40913105385112286
10666,D3,inevit,1,0.3037457125099007
11593,D3,simpli,2,0.5693430746452859
11212,D3,claim,1,0.264047966255327
11023,D3,stock,1,0.3037457125099007
10677,D3,enter,1,0.288909921120685
10781,D3,much,1,0.1820386459044602
9741,D3,way,1,0.15195681265381944
11315,D3,sens,1,0.2248616096753884
11196,D3,familiar,1,0.28467153732264294
11659,D3,cannot,1,0.2584876164301127
1949,D3,stori,1,0.3662115836277729
10869,D3,great,1,0.19485865686814186
11034,D3,form,3,0.4288010722853598
10691,D3,contain,2,0.399085536869209
11211,D3,slogan,1,0.45209288799061376
11019,D3,mankind,1,0.3662115836277729
11355,D3,obtain,1,0.17404616583788524
11608,D3,simpl,1,0.212641879963868
10752,D3,along,1,0.24435667140760287
11688,D3,discuss,1,0.11681883654255579
11449,D3,record,1,0.17281976565915738
9206,D3,organ,2,0.2804967665787668
10935,D3,deal,1,0.1806240014196908
10448,D3,relationship,1,0.18132683338386774
10360,D3,control,7,1.2452882841967052
10212,D3,bibliograph,4,0.5920139022957001
10191,D3,essay,1,0.264047966255327
10163,D3,power,6,1.4789527713151205
10531,D3,write,4,0.9387838173926427
6302,D3,inform,3,0.21758574092464744
11682,D3,satisfactorili,1,0.34114038856020934
12548,D4,project,1,0.2370161715558728
15143,D4,provis,1,0.38288038579110023
9742,D4,way,1,0.21273953771534726
11950,D4,univers,3,0.5796452478300809
13083,D4,re-examin,1,0.5126962170788821
12650,D4,establish,1,0.23544068188500977
13946,D4,although,1,0.2835687555993049
13033,D4,provok,1,0.5376246142811297
14764,D4,committe,1,0.33921300273852234
15124,D4,stress,1,0.3782429146088127
14794,D4,parri,1,0.572783475391572
14796,D4,repot,1,0.572783475391572
15122,D4,endors,1,0.572783475391572
13017,D4,1960,1,0.3929932749662196
14798,D4,267,1,0.5376246142811297
13075,D4,stimul,1,0.45272721371762165
12754,D4,nine,1,0.3547572889962387
13442,D4,academ,2,0.4981153136786821
13036,D4,highli,1,0.3169474051643561
14762,D4,ugc,1,0.572783475391572
14004,D4,chang,2,0.45603995067462927
14801,D4,gener,1,0.14883177741167428
9488,D4,also,1,0.1823046309057613
13826,D4,question,1,0.22389516818135957
13209,D4,purpos,1,0.21216673269842792
13530,D4,long-establish,1,0.572783475391572
13560,D4,method,1,0.16243183094962477
12779,D4,new,1,0.1706721457702844
13348,D4,manag,1,0.24366463217303935
4682,D4,librari,5,0.5622604717449569
6303,D4,inform,1,0.10154001243150215
1490,D4,need,1,0.16671525761201245
5233,D4,report,2,0.3804335960777981
2920,D4,provid,1,0.1673085431250001
2280,D4,system,1,0.1167519741842576
4347,D4,made,1,0.18046201011363855
14321,D4,lack,1,0.34508897997352816
14248,D4,difficulti,1,0.3261146296620346
13532,D4,attitud,1,0.34508897997352816
14283,D4,remain,1,0.31914564334932755
5417,D4,analysi,1,0.174883477419199
14497,D4,servic,1,0.162708645094497
14452,D4,best,1,0.3048647972309037
13087,D4,natur,1,0.2225693296973819
14118,D4,basic,1,0.21749075440272292
12127,D4,final,1,0.2807384675122258
12187,D4,research,2,0.2811210975557048
14349,D4,object,1,0.23622435066280298
6097,D4,aspect,1,0.23622435066280298
16465,D5,train,1,0.26783667937934286
16457,D5,militari,1,0.377272678098018
19315,D5,advanc,1,0.22425973244584413
16445,D5,war,1,0.34812109399230917
16141,D5,year,1,0.15068878522315973
3689,D5,use,5,0.423083385131259
16431,D5,trace,1,0.3370615746407991
19139,D5,possibl,1,0.16137843858685905
16349,D5,origin,1,0.21237842022187026
913,D5,first,1,0.1628652845850489
16117,D5,hundr,1,0.29853710987190035
13349,D5,manag,3,0.6091615804325984
18521,D5,explos,1,0.3423765657559657
16525,D5,thing,1,0.32749439580518297
17345,D5,handl,1,0.2425938430703996
17398,D5,complex,1,0.24128868589018088
18175,D5,primari,1,0.25724842083455357
17452,D5,calcul,1,0.3080559606312149
18106,D5,level,1,0.22425973244584413
17473,D5,involv,1,0.21407178897408657
18072,D5,today,1,0.2738119467395208
12188,D5,research,1,0.11713379064821033
18218,D5,school,1,0.22326556513389031
18012,D5,disciplin,1,0.2339487229268548
17553,D5,sinc,1,0.19953515343188194
17903,D5,wide,1,0.23875186238163906
17871,D5,rapidli,1,0.27810314080279064
17860,D5,spread,1,0.35436999792821744
13561,D5,method,1,0.1353598591246873
17652,D5,1956,1,0.3868886789715043
17659,D5,well-develop,1,0.47731956282631005
17661,D5,introduc,1,0.26783667937934286
17959,D5,varieti,1,0.2425938430703996
18288,D5,class,1,0.24666782382619173
18338,D5,cours,1,0.23279989650703858
17135,D5,comput,2,0.30016572547122133
16541,D5,either,1,0.23167049382271668
19037,D5,model,1,0.19751347629656063
16603,D5,unavail,1,0.42724684756573506
18973,D5,mathemat,1,0.22946749883661577
16607,D5,danger,1,0.377272678098018
11609,D5,simpl,1,0.24808219329117934
16615,D5,recent,1,0.20378141786243723
18955,D5,simul,1,0.31906698815925016
16708,D5,time,1,0.15192052575480106
18578,D5,develop,1,0.1146279676833359
18534,D5,rapid,2,0.5112650532564786
18494,D5,caus,1,0.2901578673938278
18435,D5,main,1,0.2351176270367737
16912,D5,sophist,2,0.6741231492815982
16926,D5,larg,1,0.15957166769731812
18430,D5,women,1,0.4111446033923516
18413,D5,men,1,0.3231552623222792
18399,D5,experienc,1,0.3370615746407991
17107,D5,electron,1,0.28757414997794006
16502,D5,real,1,0.30156888583513153
15922,D5,mani,2,0.30958779558307314
17698,D5,techniqu,2,0.3335119451108354
15330,D5,becom,2,0.41052346849750376
15165,D5,profession,2,0.43701570547383506
5774,D5,one,1,0.12365813680737528
15161,D5,game,6,2.5634810853944106
12549,D5,project,1,0.19751347629656063
15421,D5,widespread,1,0.34812109399230917
15433,D5,last,1,0.23751845418570652
15490,D5,decad,1,0.2697715154601925
15526,D5,number,1,0.15130129611693588
8168,D5,technolog,1,0.1924178278751681
4683,D5,librari,1,0.09371007862415948
15240,D5,educ,2,0.41202972957698886
13947,D5,although,1,0.23630729633275405
4348,D5,made,1,0.1503850084280321
5234,D5,report,1,0.1585139983657492
15732,D5,field,1,0.15645505721017955
23387,D6,full-tim,1,0.25634810853944107
21540,D6,index,1,0.08291771009672413
23248,D6,opportun,2,0.3877863147867351
23416,D6,find,1,0.11400998766865732
23395,D6,worker,1,0.18483357637872894
21913,D6,believ,1,0.1668618844816744
18219,D6,school,1,0.1339593390803342
21878,D6,extens,1,0.1630573148310173
23393,D6,volunt,1,0.286391737695786
21847,D6,treat,1,0.1682115949618722
23391,D6,part-tim,1,0.286391737695786
