,Document,Word,Frequence,Poid
0,D1,18,1,0.565909017147027
2272,D1,biograph,1,0.6408702713486026
2276,D1,brief,1,0.36193302883527134
2330,D1,describ,1,0.17815283346205857
2681,D1,system,1,0.1417202799261823
3224,D1,attempt,1,0.2757798133864285
3349,D1,provid,1,0.20408238223956765
3612,D1,detail,1,0.29727038231994374
3713,D1,work,1,0.20373333365471574
3977,D1,spur,1,0.6720307678514121
3980,D1,grow,1,0.2933312607031323
4085,D1,libr,1,0.13548815655691365
94,D1,class,2,0.4978710884287293
4673,D1,country,1,0.37876678504577693
4719,D1,abroad,1,0.6167169050885274
78,D1,decim,2,0.982483187415549
2268,D1,told,1,0.6408702713486026
2253,D1,nev,1,0.49817519031462515
2249,D1,story,1,0.6408702713486026
2185,D1,ful,1,0.34420124825492365
940,D1,hist,2,0.6611096473669597
1013,D1,first,2,0.48747004080393636
1186,D1,ddc,2,1.2334338101770548
1191,D1,publ,1,0.20201067831787864
1460,D1,1876,1,0.6408702713486026
1464,D1,eighteen,1,0.6167169050885274
1469,D1,1971,1,0.43136122496691015
66,D1,dewey,3,1.5665449229653912
1497,D1,fut,1,0.30350169701850216
1658,D1,appear,1,0.3148773895116402
1743,D1,nee,1,0.20802580488989758
1995,D1,spit,1,0.5803330184572565
2002,D1,long,1,0.3908992088808837
2043,D1,healthy,1,0.7911625539835742
2044,D1,lif,1,0.4240162534231529
2074,D1,howev,1,0.28771330156332897
1592,D1,continu,1,0.34100264951924825
578,D1,study,1,0.17545995052595345
258,D1,pres,1,0.186317505997247
8,D1,edit,4,1.4178437779965243
8583,D2,outsid,1,0.23640182163050794
8408,D2,tak,2,0.28954911141157824
8156,D2,docu,2,0.20802580488989758
8131,D2,restrict,1,0.2217233056226492
8104,D2,transf,2,0.43523680109074175
7444,D2,inform,7,0.4434429347135224
7359,D2,pattern,1,0.1574386947558201
7282,D2,wid,1,0.16252289279090792
11016,D2,receiv,1,0.18294355594129857
7179,D2,aspect,1,0.14764021916425185
6856,D2,on,2,0.18548720521106293
8602,D2,stil,1,0.208577355602093
6846,D2,kingdom,1,0.270914666843522
6752,D2,104,1,0.3955812769917871
10662,D2,ev,1,0.13869697542786974
6524,D2,act,2,0.2173593988222956
6523,D2,6300,1,0.3955812769917871
6198,D2,analys,1,0.0924693574336672
6014,D2,report,1,0.1188854987743119
5744,D2,techn,4,0.40334116948490406
5535,D2,mad,1,0.11278875632102409
4724,D2,us,8,0.4471962800085792
11068,D2,way,1,0.13296221107209202
4086,D2,libr,8,0.5419526262276546
6753,D2,unit,1,0.15283606339682793
10812,D2,also,1,0.1139403943161008
8701,D2,transfer,2,0.5803330184572565
10785,D2,regul,1,0.21761840054537088
10472,D2,org,1,0.11734129290763466
10419,D2,peopl,1,0.18194538230279972
10407,D2,colleagu,1,0.2610908204942319
10397,D2,contact,1,0.270914666843522
10285,D2,period,1,0.14340431487915095
10132,D2,cur,1,0.12786786707142034
10122,D2,handbook,1,0.270914666843522
9934,D2,collect,1,0.11784991976217714
9929,D2,desk,1,0.3083584525442637
9899,D2,rely,1,0.21200812671157646
8634,D2,less,1,0.16972052929444933
9876,D2,visit,1,0.2829545085735135
9437,D2,sci,1,0.07950755556186202
9884,D2,rar,1,0.24908759515731257
9249,D2,technolog,1,0.14207283972150095
8708,D2,or,1,0.3083584525442637
9364,D2,rath,1,0.1652774118417399
8780,D2,channel,1,0.23640182163050794
8799,D2,proport,2,0.4240162534231529
8829,D2,situ,1,0.17210062412746183
8713,D2,person,3,0.509161587883348
8893,D2,whol,1,0.18938339252288847
8939,D2,doubt,1,0.2610908204942319
8951,D2,maj,1,0.13119968561113537
9094,D2,particul,1,0.1272301035621038
8517,D2,account,1,0.17050132475962412
13516,D3,storeh,1,0.40913105385112286
12756,D3,stock,1,0.3037457125099007
12767,D3,form,3,0.3303439742834991
13577,D3,discuss,1,0.11681883654255579
13541,D3,satisfact,1,0.2312327275373079
13518,D3,cannot,1,0.2584876164301127
12752,D3,mankind,1,0.3662115836277729
13102,D3,certain,1,0.17162019680629295
13434,D3,simply,2,0.5693430746452859
13338,D3,record,1,0.17281976565915738
13244,D3,obtain,1,0.17404616583788524
13200,D3,sens,1,0.21911359425277654
13065,D3,famili,1,0.28467153732264294
12668,D3,deal,1,0.1806240014196908
13449,D3,simpl,1,0.19396631919365637
12553,D3,gre,1,0.16236895968171536
10473,D3,org,2,0.2682086695031649
2250,D3,story,1,0.3662115836277729
7445,D3,inform,3,0.21719653945152118
11069,D3,way,1,0.15195681265381944
11206,D3,two,1,0.1263723687568472
11425,D3,kind,1,0.19308777736191923
11493,D3,pow,6,1.4789527713151205
11521,D3,essay,1,0.264047966255327
11542,D3,bibliograph,4,0.5458867227419126
12547,D3,els,1,0.34114038856020934
11724,D3,control,7,1.2452882841967052
12159,D3,writ,5,0.899649684318972
12244,D3,knowledg,6,1.0192127393826642
12345,D3,inevit,1,0.3037457125099007
12356,D3,ent,1,0.2701735104348662
12375,D3,contain,2,0.399085536869209
12436,D3,along,1,0.24435667140760287
12465,D3,much,1,0.1820386459044602
11812,D3,rel,1,0.10237552539572259
13081,D3,claim,1,0.264047966255327
13080,D3,slog,1,0.45209288799061376
16844,D4,object,1,0.23544068188500977
16778,D4,remain,1,0.31914564334932755
15073,D4,nat,1,0.1679073135710136
15071,D4,re-examination,1,0.572783475391572
15063,D4,stim,1,0.45272721371762165
16816,D4,lack,1,0.34508897997352816
16948,D4,best,1,0.3048647972309037
16993,D4,serv,1,0.14861036560100502
14957,D4,high,1,0.23389717849143088
14954,D4,provok,1,0.5376246142811297
14938,D4,1960,1,0.3929932749662196
17315,D4,ugc,1,0.572783475391572
17317,D4,commit,1,0.30869810500146433
17360,D4,parry,1,0.572783475391572
17362,D4,repot,1,0.572783475391572
17364,D4,267,1,0.5376246142811297
17367,D4,gen,1,0.14861036560100502
14688,D4,new,1,0.16701122034402327
13839,D4,univers,3,0.5783363370693033
4087,D4,libr,5,0.5419526262276546
6199,D4,analys,1,0.14795097189386752
14661,D4,nin,1,0.3481894408725934
14017,D4,fin,1,0.26111552468294036
5536,D4,mad,1,0.18046201011363855
2682,D4,system,1,0.11337622394094585
14093,D4,research,2,0.2811210975557048
17689,D4,endors,1,0.572783475391572
17691,D4,stressed,1,0.45272721371762165
11070,D4,way,1,0.21273953771534726
14556,D4,est,1,0.23466500856250586
16743,D4,difficul,1,0.3261146296620346
15320,D4,purpos,1,0.21216673269842792
14454,D4,project,1,0.2370161715558728
16315,D4,bas,1,0.1289116441897756
6015,D4,report,2,0.3804335960777981
16201,D4,chang,2,0.45603995067462927
7180,D4,aspect,1,0.23622435066280298
16021,D4,quest,1,0.2225693296973819
15634,D4,academ,2,0.49443567549238665
1744,D4,nee,1,0.16642064391191808
3350,D4,provid,2,0.32653181158330824
10813,D4,also,1,0.1823046309057613
15724,D4,long-established,1,0.572783475391572
15726,D4,attitud,1,0.34508897997352816
16143,D4,although,1,0.2835687555993049
15754,D4,method,1,0.16215621524057672
15459,D4,man,1,0.1940959416620021
7446,D4,inform,1,0.10135838507737656
5537,D5,mad,1,0.1503850084280321
21452,D5,develop,1,0.11447561786881118
20402,D5,spread,1,0.35436999792821744
21439,D5,explod,1,0.3423765657559657
22196,D5,adv,1,0.18332210631067036
20314,D5,1956,1,0.3868886789715043
20215,D5,sint,1,0.19953515343188194
17699,D5,gam,6,2.5634810853944106
17703,D5,profess,2,0.38730743428715664
4725,D5,us,5,0.372663566673816
20135,D5,involv,1,0.21407178897408657
17811,D5,educ,2,0.41202972957698886
20113,D5,calc,1,0.3047375871368505
17901,D5,becom,2,0.41052346849750376
21830,D5,sim,1,0.31906698815925016
20059,D5,complex,1,0.24128868589018088
17992,D5,widespread,1,0.34812109399230917
20323,D5,introduc,1,0.21493525475683953
20413,D5,rapid,3,0.6639631344326583
95,D5,class,1,0.16595702947624308
15755,D5,method,1,0.13513017936714725
20991,D5,school,1,0.24952668402636136
7283,D5,wid,1,0.21669719038787721
15460,D5,man,3,0.48523985415500526
21100,D5,expery,1,0.15068878522315973
5745,D5,techn,2,0.26889411298993604
20901,D5,prim,1,0.20601486478849443
21308,D5,men,1,0.31906698815925016
22020,D5,poss,1,0.16137843858685905
9250,D5,technolog,1,0.18943045296200126
21918,D5,model,1,0.19751347629656063
14455,D5,project,1,0.19751347629656063
20832,D5,level,1,0.22425973244584413
21326,D5,wom,1,0.4111446033923516
20798,D5,today,1,0.2738119467395208
21848,D5,mathem,1,0.22326556513389031
21331,D5,main,1,0.21493525475683953
21410,D5,caus,1,0.28508278330887
20738,D5,disciplin,1,0.2339487229268548
16144,D5,although,1,0.23630729633275405
21039,D5,cours,1,0.23279989650703858
4088,D5,libr,1,0.0903254377046091
20485,D5,vary,1,0.1384394736316154
18688,D5,hundr,1,0.29853710987190035
