,Word,Document,Frequence,Poid
72801,0,D443,1,0.21097668106228643
76222,0.18,D1090,1,0.5274417026557161
74662,0.5,D720,1,0.7911625539835742
74543,0.7%,D691,1,0.3955812769917871
61969,000,D687,2,1.0713467175173714
61980,000,D997,2,0.8035100381380287
61957,000,D311,1,0.3214040152552115
61958,000,D347,1,0.40175501906901434
61982,000,D1071,1,0.5356733587586857
61983,000,D1091,1,0.17855778625289526
61959,000,D371,2,0.40175501906901434
61984,000,D1114,1,0.40175501906901434
61985,000,D1286,3,1.6070200762760574
61970,000,D700,1,0.40175501906901434
61960,000,D400,1,0.16070200762760575
61979,000,D963,1,0.16070200762760575
61961,000,D403,1,0.40175501906901434
61962,000,D442,1,0.3214040152552115
61987,000,D1419,3,0.5356733587586857
61988,000,D1460,1,0.5356733587586857
61971,000,D704,1,0.40175501906901434
61964,000,D491,1,0.5356733587586857
61952,000,D79,1,0.40175501906901434
61986,000,D1408,1,0.3214040152552115
61981,000,D1028,2,0.5356733587586857
61963,000,D463,1,0.8035100381380287
61968,000,D581,2,0.26783667937934286
61978,000,D921,1,0.3214040152552115
61965,000,D498,1,0.5356733587586857
61976,000,D886,2,0.5356733587586857
61975,000,D867,1,0.5356733587586857
61956,000,D201,1,0.3214040152552115
61974,000,D857,1,0.5356733587586857
61966,000,D550,1,0.26783667937934286
61973,000,D820,1,0.20087750953450717
61955,000,D195,1,0.26783667937934286
61954,000,D189,1,0.3214040152552115
61967,000,D551,2,0.3214040152552115
61953,000,D187,1,0.14609273420691432
61972,000,D720,1,0.40175501906901434
61977,000,D897,1,0.40175501906901434
75284,029,D848,1,0.35162780177047737
68811,044,D188,1,0.35162780177047737
75763,054,D949,1,0.3164650215934297
75437,071,D903,1,0.2876954741758452
71448,071182,D331,1,1.0548834053114322
76296,073,D1124,1,0.5274417026557161
68749,077,D187,1,0.2876954741758452
76123,084,D1055,1,0.3955812769917871
68780,099,D188,1,0.35162780177047737
47130,1,D936,1,0.3687778306970798
47083,1,D426,1,0.1843889153485399
47121,1,D873,1,0.13829168651140494
47084,1,D443,2,0.14751113227883195
47123,1,D883,1,0.22126669841824792
47085,1,D447,1,0.11063334920912396
47133,1,D958,2,0.20115154401658902
47087,1,D506,1,0.22126669841824792
47129,1,D928,1,0.08510257631471074
47086,1,D501,1,0.2765833730228099
47124,1,D885,1,0.15804764172731992
47125,1,D893,2,1.1063334920912395
47120,1,D869,3,1.1063334920912395
47081,1,D405,1,0.1843889153485399
47126,1,D910,1,0.2765833730228099
47134,1,D963,1,0.11063334920912396
47135,1,D978,1,0.2765833730228099
47136,1,D988,1,0.3687778306970798
47127,1,D921,2,0.44253339683649584
47131,1,D937,1,0.2765833730228099
47132,1,D949,2,0.22126669841824792
47128,1,D924,1,0.13829168651140494
47122,1,D880,1,0.2765833730228099
47118,1,D836,1,0.22126669841824792
47088,1,D512,2,0.2765833730228099
47089,1,D518,1,0.3687778306970798
47090,1,D519,1,0.1843889153485399
47091,1,D520,1,0.2765833730228099
47092,1,D523,1,0.12292594356569328
47093,1,D561,1,0.15804764172731992
47094,1,D570,1,0.1843889153485399
47095,1,D580,1,0.11063334920912396
47096,1,D581,2,0.1843889153485399
47097,1,D583,1,0.1843889153485399
47098,1,D589,2,0.14751113227883195
47099,1,D614,1,0.11063334920912396
47100,1,D617,2,0.31609528345463983
47101,1,D619,1,0.3687778306970798
47102,1,D621,1,0.22126669841824792
47103,1,D622,1,0.13829168651140494
47104,1,D629,1,0.22126669841824792
47117,1,D820,1,0.13829168651140494
47116,1,D788,1,0.22126669841824792
47115,1,D778,2,0.7375556613941596
47114,1,D776,1,0.12292594356569328
47113,1,D766,1,0.2765833730228099
47112,1,D765,4,0.7375556613941596
47119,1,D865,1,0.22126669841824792
47111,1,D735,1,0.1843889153485399
47109,1,D674,1,0.1843889153485399
47108,1,D656,2,0.24585188713138656
47079,1,D392,1,0.22126669841824792
47107,1,D653,1,0.2765833730228099
47106,1,D646,1,0.13829168651140494
47105,1,D631,1,0.2765833730228099
47110,1,D692,1,0.1843889153485399
47137,1,D1018,1,0.13829168651140494
47080,1,D394,2,0.7375556613941596
47139,1,D1038,1,0.12292594356569328
47064,1,D225,1,0.2765833730228099
47155,1,D1261,1,0.10057577200829451
47063,1,D220,1,0.08510257631471074
47156,1,D1265,1,0.1843889153485399
47062,1,D201,1,0.22126669841824792
47157,1,D1291,1,0.5531667460456198
47158,1,D1331,1,0.22126669841824792
47159,1,D1335,1,0.2765833730228099
47160,1,D1356,1,0.3687778306970798
47061,1,D198,1,0.11063334920912396
47060,1,D195,1,0.1843889153485399
47059,1,D190,2,0.31609528345463983
47163,1,D1408,1,0.22126669841824792
47058,1,D188,1,0.12292594356569328
47057,1,D187,2,0.20115154401658902
47056,1,D176,1,0.1843889153485399
47042,1,D24,1,0.1843889153485399
47048,1,D61,1,0.22126669841824792
47049,1,D89,1,0.11063334920912396
47162,1,D1404,1,0.15804764172731992
47045,1,D43,1,0.2765833730228099
47050,1,D97,1,0.1843889153485399
47051,1,D99,1,0.12292594356569328
47154,1,D1252,2,0.22126669841824792
47052,1,D109,1,0.15804764172731992
47054,1,D119,1,0.22126669841824792
47044,1,D41,1,0.15804764172731992
47138,1,D1028,1,0.1843889153485399
47055,1,D135,1,0.15804764172731992
47043,1,D30,1,0.2765833730228099
47161,1,D1369,2,0.20115154401658902
47053,1,D111,1,0.13829168651140494
47047,1,D51,1,0.2765833730228099
47065,1,D248,1,0.11063334920912396
47153,1,D1231,1,0.22126669841824792
47140,1,D1039,1,0.11063334920912396
47165,1,D1450,1,0.13829168651140494
47141,1,D1051,1,0.2765833730228099
47142,1,D1054,1,0.12292594356569328
47143,1,D1055,2,0.2765833730228099
47144,1,D1060,1,0.22126669841824792
47078,1,D389,1,0.3687778306970798
47145,1,D1075,1,0.2765833730228099
47164,1,D1434,1,0.1843889153485399
47146,1,D1080,1,0.1843889153485399
47147,1,D1097,3,0.8297501190684297
47077,1,D376,1,0.13829168651140494
