,Word,Document,Frequence,Poid
71676,0,D443,1,0.21097668106228643
74638,0.18,D1090,1,0.3164650215934297
73314,0.5,D720,1,0.7911625539835742
73204,0.7%,D691,1,0.3164650215934297
62469,000,D1091,1,0.17855778625289526
62444,000,D347,1,0.40175501906901434
62445,000,D371,2,0.24723385788862423
62448,000,D442,1,0.3214040152552115
62470,000,D1114,1,0.40175501906901434
62446,000,D400,1,0.13391833968967143
62462,000,D886,2,0.5356733587586857
62438,000,D79,1,0.40175501906901434
62461,000,D867,1,0.5356733587586857
62450,000,D491,1,0.5356733587586857
62451,000,D498,1,0.5356733587586857
62452,000,D550,1,0.26783667937934286
62453,000,D551,2,0.3214040152552115
62454,000,D581,2,0.26783667937934286
62455,000,D687,2,1.0713467175173714
62456,000,D700,1,0.5356733587586857
62457,000,D704,1,0.40175501906901434
62460,000,D857,1,0.5356733587586857
62443,000,D311,1,0.2295742966108653
62449,000,D463,1,0.8035100381380287
62442,000,D201,1,0.3214040152552115
62471,000,D1286,3,1.205265057207043
62472,000,D1408,1,0.3214040152552115
62473,000,D1419,3,0.4382782026207429
62468,000,D1071,1,0.5356733587586857
62447,000,D403,1,0.3214040152552115
62467,000,D1028,2,0.5356733587586857
62458,000,D720,1,0.40175501906901434
62440,000,D189,1,0.3214040152552115
62441,000,D195,1,0.26783667937934286
62466,000,D997,2,0.8035100381380287
62439,000,D187,1,0.13391833968967143
62465,000,D963,1,0.16070200762760575
62464,000,D921,1,0.3214040152552115
62463,000,D897,1,0.40175501906901434
62474,000,D1460,1,0.3214040152552115
62459,000,D820,1,0.20087750953450717
73825,029,D848,1,0.35162780177047737
68280,044,D188,1,0.24343463199494592
74229,054,D949,1,0.3164650215934297
73968,071,D903,1,0.2876954741758452
70536,071182,D331,1,1.0548834053114322
74702,073,D1124,1,0.3955812769917871
68236,077,D187,1,0.26372085132785805
74552,084,D1055,1,0.3955812769917871
68254,099,D188,1,0.24343463199494592
50236,1,D501,1,0.2765833730228099
50269,1,D865,1,0.22126669841824792
50268,1,D836,1,0.22126669841824792
50218,1,D274,1,0.1843889153485399
50267,1,D820,1,0.13829168651140494
50266,1,D788,1,0.22126669841824792
50264,1,D776,1,0.12292594356569328
50270,1,D869,3,1.1063334920912395
50263,1,D766,1,0.2765833730228099
50262,1,D765,4,0.7375556613941596
50261,1,D735,1,0.13829168651140494
50260,1,D692,1,0.15804764172731992
50259,1,D674,1,0.1843889153485399
50210,1,D195,1,0.1843889153485399
50271,1,D873,1,0.13829168651140494
50272,1,D880,1,0.2765833730228099
50273,1,D883,1,0.22126669841824792
50211,1,D198,1,0.11063334920912396
50212,1,D201,1,0.22126669841824792
50213,1,D220,1,0.08510257631471074
50214,1,D225,1,0.2765833730228099
50282,1,D949,2,0.22126669841824792
50281,1,D937,1,0.2765833730228099
50280,1,D936,1,0.3687778306970798
50258,1,D656,2,0.24585188713138656
50279,1,D928,1,0.08510257631471074
50277,1,D921,2,0.44253339683649584
50276,1,D910,1,0.1843889153485399
50215,1,D248,1,0.11063334920912396
50275,1,D893,2,1.1063334920912395
50274,1,D885,1,0.15804764172731992
50216,1,D260,1,0.15804764172731992
50217,1,D269,2,0.24585188713138656
50278,1,D924,1,0.13829168651140494
50219,1,D310,1,0.12292594356569328
50220,1,D311,1,0.15804764172731992
50221,1,D330,2,0.20115154401658902
50232,1,D411,1,0.3687778306970798
50233,1,D426,1,0.2765833730228099
50248,1,D589,2,0.14751113227883195
50247,1,D583,1,0.15804764172731992
50246,1,D581,2,0.1843889153485399
50245,1,D580,1,0.11063334920912396
50244,1,D570,1,0.1843889153485399
50243,1,D561,1,0.15804764172731992
50242,1,D523,1,0.12292594356569328
50241,1,D520,1,0.2765833730228099
50240,1,D519,1,0.1843889153485399
50239,1,D518,1,0.3687778306970798
50238,1,D512,2,0.2765833730228099
50234,1,D443,2,0.14751113227883195
50235,1,D447,1,0.11063334920912396
50250,1,D617,2,0.31609528345463983
50237,1,D506,1,0.22126669841824792
50231,1,D405,1,0.1843889153485399
50252,1,D621,1,0.22126669841824792
50222,1,D341,1,0.22126669841824792
50257,1,D653,1,0.2765833730228099
50256,1,D646,1,0.13829168651140494
50223,1,D345,1,0.3687778306970798
50255,1,D631,1,0.2765833730228099
50224,1,D358,1,0.13829168651140494
50254,1,D629,1,0.22126669841824792
50253,1,D622,1,0.13829168651140494
50225,1,D360,1,0.2765833730228099
50226,1,D367,1,0.22126669841824792
50209,1,D190,2,0.31609528345463983
50227,1,D376,1,0.13829168651140494
50228,1,D389,1,0.3687778306970798
50229,1,D392,1,0.22126669841824792
50230,1,D394,2,0.7375556613941596
50251,1,D619,1,0.3687778306970798
50249,1,D614,1,0.10057577200829451
50265,1,D778,2,0.7375556613941596
50305,1,D1261,1,0.10057577200829451
50313,1,D1408,1,0.22126669841824792
50301,1,D1184,1,0.3687778306970798
50302,1,D1185,1,0.22126669841824792
50303,1,D1231,1,0.22126669841824792
50304,1,D1252,2,0.22126669841824792
50206,1,D176,1,0.1843889153485399
50306,1,D1265,1,0.1843889153485399
50201,1,D99,1,0.12292594356569328
50307,1,D1291,1,0.22126669841824792
50308,1,D1331,1,0.22126669841824792
50309,1,D1335,1,0.1843889153485399
50310,1,D1356,1,0.3687778306970798
50300,1,D1163,1,0.3687778306970798
50200,1,D97,1,0.1843889153485399
50198,1,D61,1,0.22126669841824792
50197,1,D51,1,0.2765833730228099
50202,1,D109,1,0.15804764172731992
50196,1,D50,1,0.5531667460456198
50311,1,D1369,2,0.20115154401658902
50203,1,D111,1,0.13829168651140494
50195,1,D43,1,0.22126669841824792
50194,1,D41,1,0.13829168651140494
50193,1,D30,1,0.2765833730228099
50204,1,D119,1,0.22126669841824792
50192,1,D24,1,0.1843889153485399
50283,1,D958,2,0.20115154401658902
50199,1,D89,1,0.10057577200829451
50207,1,D187,2,0.1843889153485399
50205,1,D135,1,0.15804764172731992
50291,1,D1051,1,0.2765833730228099
50294,1,D1060,1,0.22126669841824792
50293,1,D1055,2,0.2765833730228099
50297,1,D1097,3,0.8297501190684297
50292,1,D1054,1,0.12292594356569328
50298,1,D1160,1,0.2765833730228099
50315,1,D1450,1,0.13829168651140494
50290,1,D1039,1,0.11063334920912396
50295,1,D1075,1,0.2765833730228099
50289,1,D1038,1,0.12292594356569328
50287,1,D1018,1,0.13829168651140494
50312,1,D1404,1,0.13829168651140494
50286,1,D988,1,0.3687778306970798
50314,1,D1434,1,0.1843889153485399
50285,1,D978,1,0.2765833730228099
50299,1,D1162,1,0.15804764172731992
50284,1,D963,1,0.11063334920912396
50208,1,D188,1,0.08510257631471074
50288,1,D1028,1,0.1843889153485399
50296,1,D1080,1,0.1843889153485399
72543,1%,D580,1,0.3164650215934297
75279,1.00,D1374,1,0.3955812769917871
73730,1.13,D820,1,0.3955812769917871
73254,1.25,D699,2,2.1097668106228644
71269,1.3,D399,1,0.7911625539835742
74840,1.78,D1194,1,0.6329300431868594
72873,1.87,D619,1,1.0548834053114322
68278,10,D1156,1,0.3370615746407991
68267,10,D367,1,0.404473889568959
68268,10,D371,1,0.15556688060344576
68269,10,D477,1,0.25279618098059936
68270,10,D517,1,0.3370615746407991
68279,10,D1175,2,0.6741231492815982
68276,10,D1108,1,0.3370615746407991
68271,10,D589,2,0.2696492597126393
68272,10,D610,1,0.25279618098059936
68275,10,D820,1,0.25279618098059936
68274,10,D810,1,0.288909921120685
68266,10,D188,1,0.15556688060344576
68273,10,D656,1,0.22470771642719942
68277,10,D1151,1,0.404473889568959
72810,10%,D610,1,0.33601538392570607
72812,10%,D865,1,0.5376246142811297
72811,10%,D722,1,0.33601538392570607
73205,10.2%,D691,1,0.3164650215934297
69598,10.9%,D253,1,0.6329300431868594
56147,100,D196,1,0.47280364326101587
56151,100,D482,1,0.3782429146088127
56146,100,D127,1,0.23640182163050794
56159,100,D865,1,0.3782429146088127
56157,100,D743,1,0.17192859754946033
56148,100,D207,1,0.18912145730440635
56149,100,D347,1,0.47280364326101587
56152,100,D492,1,0.3782429146088127
56153,100,D617,1,0.2701735104348662
56154,100,D657,1,0.15760121442033861
56158,100,D820,1,0.23640182163050794
56150,100,D442,1,0.3782429146088127
56145,100,D35,1,0.6304048576813545
56161,100,D949,1,0.18912145730440635
56162,100,D1451,1,0.47280364326101587
56163,100,D1460,1,0.3782429146088127
56155,100,D661,1,0.2701735104348662
56160,100,D897,1,0.47280364326101587
56156,100,D686,1,0.2701735104348662
72094,100%,D650,2,1.4319586884789302
72093,100%,D503,1,0.572783475391572
6752,104,D2,1,0.3955812769917871
74842,1086,D1195,2,1.2658600863737188
68504,109,D197,1,0.5274417026557161
71050,11,D1366,1,0.6408702713486026
71049,11,D1231,1,0.5126962170788821
71048,11,D506,1,0.5126962170788821
71047,11,D371,1,0.19719085272264697
73312,11%,D720,1,0.7911625539835742
69587,11.7%,D253,1,0.6329300431868594
69720,1100,D260,1,0.45209288799061376
71861,111,D473,1,1.0548834053114322
59455,112,D50,1,1.3440615357028243
59456,112,D129,1,0.2443748246732408
59457,112,D765,1,0.4480205119009414
73271,1130,D703,1,0.7911625539835742
68560,114,D197,1,0.5274417026557161
66678,116,D145,1,0.35162780177047737
72557,117,D581,1,0.26372085132785805
59663,12,D932,1,0.19329272614266407
59655,12,D52,1,0.2657774984461631
59656,12,D65,1,0.2126219987569305
59664,12,D1108,3,1.0631099937846524
59657,12,D156,1,0.5315549968923262
59658,12,D188,1,0.1635553836591773
59659,12,D189,1,0.425243997513861
59660,12,D544,1,0.19329272614266407
59661,12,D661,1,0.3037457125099007
59662,12,D848,1,0.2362466652854783
59665,12,D1156,1,0.35436999792821744
68702,12.5,D201,1,0.6329300431868594
68701,12.9,D201,1,0.6329300431868594
64267,120,D102,1,0.7911625539835742
71977,1200,D486,1,0.572783475391572
71978,1200,D1407,1,0.286391737695786
71620,12000,D439,1,0.35162780177047737
72215,124,D522,1,0.5274417026557161
75234,125,D1347,1,0.3955812769917871
62803,13,D934,1,0.1898842330867141
62802,13,D930,1,0.34812109399230917
62807,13,D1408,1,0.41774531279077104
62806,13,D1407,1,0.20887265639538552
62796,13,D86,1,0.20887265639538552
62797,13,D97,1,0.34812109399230917
62798,13,D330,1,0.1898842330867141
62799,13,D506,1,0.41774531279077104
62801,13,D687,1,0.6962421879846183
62804,13,D1108,1,0.34812109399230917
62805,13,D1286,1,0.5221816409884638
62800,13,D613,1,0.1898842330867141
73969,130,D903,1,0.2876954741758452
74845,131,D1195,1,0.6329300431868594
74848,132,D1196,1,0.6329300431868594
74948,133,D1231,1,0.6329300431868594
73873,135,D869,1,1.0548834053114322
68285,136,D189,1,0.6329300431868594
72834,138,D638,1,0.4480205119009414
72835,138,D890,1,0.5376246142811297
72833,138,D614,2,0.4887496493464816
68228,14,D622,1,0.3083584525442637
68225,14,D187,2,0.4111446033923516
68226,14,D546,1,0.6167169050885274
68227,14,D580,1,0.24668676203541096
68229,14,D691,1,0.24668676203541096
72629,14%,D588,1,0.2603561251779873
72630,14%,D720,1,0.7159793442394651
72045,140,D498,1,1.0548834053114322
74690,1400,D1114,1,0.7911625539835742
73783,1401,D851,1,0.6720307678514121
